id,title,year,rating
872906,Jawan,2023,7.3
554600,Uri: The Surgical Strike,2019,7.2
781732,Animal,2023,7.4
975533,The Archies,2023,7.1
734253,Adipurush,2023,5.3
19404,Dilwale Dulhania Le Jayenge,1995,8.5
20453,3 Idiots,2009,8
720557,Tiger 3,2023,5.9
10757,Kabhi Khushi Kabhie Gham,2001,7.7
26022,My Name Is Khan,2010,8.1
1211409,Kya Masti Kya Dhoom,2023,0
7508,Like Stars on Earth,2007,8
864692,Pathaan,2023,6.6
4251,Veer-Zaara,2004,7.4
205022,Chennai Express,2013,6.5
592508,Sooryavanshi,2021,5.8
11518,Mohabbatein,2000,7
11854,Kuch Kuch Hota Hai,1998,7.5
534780,Andhadhun,2018,7.6
950071,Jaane Jaan,2023,7
12259,Sholay,1975,7
14072,Rab Ne Bana Di Jodi,2008,7.1
61202,Zindagi Na Milegi Dobara,2011,7.5
41517,Ra.One,2011,5.7
297222,PK,2014,7.7
585268,War,2019,6.5
79464,Rockstar,2011,7.2
496331,Brahmāstra Part One: Shiva,2022,6.6
960876,Dunki,2023,10
360814,Dangal,2016,7.9
783461,Looop Lapeta,2022,6.1
8079,Om Shanti Om,2007,7
138122,Student of the Year,2012,5.7
37737,Kites,2010,7.2
352173,Drishyam,2015,7.7
85985,Ek Tha Tiger,2012,6.1
4254,Kal Ho Naa Ho,2003,7.4
14194,Dhoom 2,2006,6.6
362045,Bajirao Mastani,2015,7.3
444713,Commando 2 -  The Black Money Trail,2017,6.1
14395,Kabhi Alvida Naa Kehna,2006,6.4
19666,Lagaan: Once Upon a Time in India,2001,7.3
472138,Thugs of Hindostan,2018,5.6
41109,Don 2,2011,7
185008,Yeh Jawaani Hai Deewani,2013,7.3
1209321,Majbooriyan,2023,0
191714,The Lunchbox,2013,7.3
30066,Gol Maal,1979,7.3
413543,Dear Zindagi,2016,7.1
885331,Gadar 2,2023,6.6
496316,Baaghi 2,2018,5.9
15917,Devdas,2002,7.5
25868,Aladin,2009,6.3
370665,Dilwale,2015,6.6
14134,Main Hoon Na,2004,6.9
336203,Masaan,2015,7
1178521,Fire of Love: RED,2023,0
530154,Lust Stories,2018,6.3
466550,Drive,2019,5.1
4435,Aśoka,2001,6.4
17478,Dhoom,2004,6.3
135718,OMG: Oh My God!,2012,7.2
277432,Happy New Year,2014,6.1
20360,Namastey London,2007,6.1
314389,Baby,2015,6.7
538858,Tumbbad,2018,7.6
1211406,Kaisi Ye Dor,2023,0
381418,Sanam Teri Kasam,2016,7.9
73582,Bodyguard,2011,5.2
13986,Dil To Pagal Hai,1997,6.9
1018228,Chor Nikal Ke Bhaga,2023,7.2
432527,Padmaavat,2018,6.9
560964,Junglee,2019,6.7
441909,Tiger Zinda Hai,2017,6.1
814215,Sam Bahadur,2023,8.5
377985,Fan,2016,6.3
280690,Kick,2014,5.7
714338,Bulbbul,2020,6.7
348892,Bajrangi Bhaijaan,2015,7.8
15774,Swades,2004,7.2
412090,Jolly LLB 2,2017,6.9
767377,Dhamaka,2021,6.9
15772,Guru,2007,6.8
393445,Ae Dil Hai Mushkil,2016,6.4
1198725,Mast Mein Rehne Ka,2023,7
15864,Bachna Ae Haseeno,2008,6
7913,Rang De Basanti,2006,7.1
31977,Black,2005,7.7
44977,Dhoom 3,2013,6
17501,Don,2006,7
132316,Jab Tak Hai Jaan,2012,7.1
848116,Rocky Aur Rani Kii Prem Kahaani,2023,6.2
664332,Gangubai Kathiawadi,2022,7.4
251626,Hasee Toh Phasee,2014,6.5
391629,Baaghi,2016,6.4
24827,Ajab Prem Ki Ghazab Kahani,2009,6.1
658412,Ludo,2020,7.4
802403,Ajeeb Daastaans,2021,6.5
61400,Thank You,2011,5.3
363343,Raees,2017,6.7
645484,Dil Bechara,2020,6.8
339274,Tamasha,2015,6.6
505175,Love per Square Foot,2018,6.7
480,Monsoon Wedding,2001,6.8
276928,Humpty Sharma Ki Dulhania,2014,6.3
283589,Bang Bang!,2014,6.2
222951,B.A. Pass,2012,5.7
20294,Welcome,2007,6.8
14752,Dil Chahta Hai,2001,6.9
352205,Parched,2015,7.4
20495,Mujhse Shaadi Karogi,2004,6.4
67109,Delhi Belly,2011,7
496328,Sanju,2018,7.2
404604,Mom,2017,7.6
441875,Toilet: A Love Story,2017,6.8
599925,Shershaah,2021,7.4
381070,Loev,2016,5.3
11807,Jab We Met,2007,7.3
491625,Gully Boy,2019,7.4
27298,Partner,2007,5.5
589615,Raat Akeli Hai,2020,6.8
524288,Period. End of Sentence.,2018,7.9
611359,Tu Jhoothi Main Makkaar,2023,6.4
374173,Kapoor & Sons,2016,7
84858,Agneepath,2012,6.4
204435,Krrish 3,2013,5.7
33124,1942: A Love Story,1994,6
601643,Ghost Stories,2020,5
669583,Did It Happen?,2020,6.5
447856,Pad Man,2018,7.5
215776,Madras Cafe,2013,6.5
127501,Barfi!,2012,7.5
496320,Race 3,2018,4.2
44749,Race 2,2013,5.5
491629,Raazi,2018,7.2
14073,Jodhaa Akbar,2008,7.3
464458,Ittefaq,2017,6.9
206324,Bhaag Milkha Bhaag,2013,7.4
8453,Fanaa,2006,6.7
19672,Rock On!!,2008,6.8
503838,Raid,2018,7.2
22717,Wanted,2009,5.8
888710,OMG 2,2023,7.4
456570,Hindi Medium,2017,7.3
70590,Singham,2011,6.5
7509,Water,2005,6.9
15977,Dev.D,2009,6.9
498598,Sonu Ke Titu Ki Sweety,2018,6.5
353464,Talvar,2015,7.4
581361,Badla,2019,7.4
14071,Dostana,2008,6.2
79990,Desi Boyz,2011,6.1
613446,The Sky Is Pink,2019,7.9
28740,Black Friday,2004,7.3
21210,Dil Se..,1998,6.9
388333,M.S. Dhoni: The Untold Story,2016,7.1
376873,Rocky Handsome,2016,6.4
715765,Bachchhan Paandey,2022,5.3
15084,Salaam Namaste,2005,6
550485,Batla House,2019,6.9
1029827,Drishyam 2,2022,8
1136736,Lust Stories 2,2023,5.4
58051,Housefull,2010,5.6
45002,Chamatkar,1992,6.4
413882,Ok Jaanu,2017,5.9
645489,Gunjan Saxena: The Kargil Girl,2020,7.4
32740,Krrish,2006,6.4
493623,Hichki,2018,7.6
498448,Kesari,2019,7
441881,Tubelight,2017,5.4
19625,Munna Bhai M.B.B.S.,2003,7.2
10788,Kambakkht Ishq,2009,4.1
376047,Fitoor,2016,5.7
33081,Paheli,2005,6.1
377213,Te3n,2016,6.9
192558,Aashiqui 2,2013,6.9
36204,No Smoking,2007,6.9
250551,Gunday,2014,5
467106,Bareilly Ki Barfi,2017,6.7
65946,Ready,2011,5
325138,Dum Laga Ke Haisha,2015,7.2
503129,Student of the Year 2,2019,4.7
14163,Chak De! India,2007,7.2
11763,Bunty Aur Babli,2005,6.3
26815,Rocket Singh: Salesman of the Year,2009,6.8
376869,Neerja,2016,7.3
52696,Band Baaja Baaraat,2010,6.6
597089,Article 15,2019,7.5
662231,Hacked,2020,7
675592,Guilty,2020,6.7
1131409,Mission Raniganj,2023,5.9
695969,Haseen Dillruba,2021,6.5
376812,Sultan,2016,6.9
285803,Singham Returns,2014,6
392344,Baar Baar Dekho,2016,5.7
338065,Dil Dhadakne Do,2015,6.8
62883,Hum Saath Saath Hain,1999,5.9
330037,Brothers,2015,6.4
16345,Billu,2009,6.4
491622,Manikarnika: The Queen of Jhansi,2019,7.1
303372,Dil... Akhir Dil Hai,1982,0
786190,Pagglait,2021,6.7
33142,Vivah,2006,6.5
601635,Laal Singh Chaddha,2022,6.5
259720,2 States,2014,6.6
390437,Ki & Ka,2016,5.5
19663,Love Aaj Kal,2009,6.1
19637,Chup Chup Ke,2006,6.2
441889,Secret Superstar,2017,7.3
14070,Ghajini,2008,7
35053,Darr,1993,6.8
117691,Gangs of Wasseypur - Part 1,2012,7.2
103243,Vicky Donor,2012,6.8
611748,Housefull 4,2019,5.9
147405,Dabangg 2,2012,5.1
25867,De Dana Dan,2009,5.6
134215,Heroine,2012,5.1
878926,Khufiya,2023,6
56969,Tere Naam,2003,6.6
934419,Qala,2022,6.5
362136,Prem Ratan Dhan Payo,2015,5.4
44566,Anjaana Anjaani,2010,6
278347,Entertainment,2014,4.9
611598,Samrat Prithviraj,2022,7.2
22315,Aitraaz,2004,5.7
596650,Chhichhore,2019,7.7
15974,Bhoothnath,2008,6.1
4253,Hum Tum,2004,6.4
375290,Airlift,2016,7.1
254171,Bewakoofiyaan,2014,5.8
1072758,Kadak Singh,2023,6.3
86004,Talaash,2012,6.7
19887,Disco Dancer,1982,5.5
456565,Judwaa 2,2017,5.5
16283,Saawariya,2007,5.5
310567,Umrika,2015,5.9
218898,Zanjeer,2013,4.6
168245,Kai Po Che!,2013,6.9
44425,Dabangg,2010,5.9
496524,Simmba,2018,6.2
190940,Bombay Talkies,2013,6.4
19658,Race,2008,6.1
413646,Badrinath Ki Dulhania,2017,6.4
46387,Hum Aapke Hain Koun..!,1994,6.4
1063708,Joram,2023,0
734780,Sardar Ka Grandson,2021,7.6
21175,Lakshya,2004,6.6
441906,Jab Harry Met Sejal,2017,6.5
4157,Heyy Babyy,2007,5.9
125225,Star,1982,5.8
20534,Murder,2004,5
26277,Mujhse Dosti Karoge!,2002,6.3
25516,Koi... Mil Gaya,2003,6.9
1046620,The Vaccine War,2023,7.5
533148,Ek Ladki Ko Dekha Toh Aisa Laga,2019,5.7
20688,Kaminey,2009,6.8
415358,Pink,2016,7.4
418235,Lipstick Under My Burkha,2017,6.8
733038,Pippa,2023,4.5
663457,Govinda Naam Mera,2022,5.2
682401,Ek Villain Returns,2022,6.3
805785,Fukrey 3,2023,6.1
735919,AK vs AK,2020,6.9
58128,Andaz Apna Apna,1994,6.8
849775,Bye 2,2020,0
34764,Karthik Calling Karthik,2010,6.2
393562,Raman Raghav 2.0,2016,7.1
917,Mother India,1957,7.2
102632,Rowdy Rathore,2012,5.9
14546,Golmaal Returns,2008,5
744676,Ginny Weds Sunny,2020,6.4
191121,Raanjhanaa,2013,6.5
541495,The Man Who Feels No Pain,2019,6.6
900783,The Kashmir Files,2022,7.1
413884,Half Girlfriend,2017,6.5
695958,The Girl on the Train,2021,5.9
601807,Mrs. Serial Killer,2020,6.3
19703,A Wednesday!,2008,6.9
41188,Bhagam Bhag,2006,6.5
235984,Goliyon Ki Raasleela Ram-Leela,2013,7
208036,Ramaiya Vastavaiya,2013,6.2
778946,Mission Majnu,2023,6.8
471919,Lucknow Central,2017,6.4
247645,Queen,2014,7.4
191726,Ugly,2013,6.9
280795,Haider,2014,7.2
44613,Lafangey Parindey,2010,5.8
161226,Biwi No.1,1999,6
105379,Blood Money,2012,6.1
126400,Gangs of Wasseypur - Part 2,2012,7.9
25638,Laaga Chunari Mein Daag,2007,5.5
965606,Bholaa,2023,6.4
21461,Lage Raho Munna Bhai,2006,7.2
966719,Kisi Ka Bhai... Kisi Ki Jaan,2023,5.7
30886,Veer,2010,5.2
19657,Baazigar,1993,6.9
14165,Ta Ra Rum Pum,2007,6.2
577328,Kabir Singh,2019,6.5
21570,Rangeela,1995,6.9
801526,Darlings,2022,6.9
291157,Khoobsurat,2014,6.6
598826,Sardar Udham,2021,7.2
1215760,Award,2023,0
58333,Tanu Weds Manu,2011,6.8
915831,"Monica, O My Darling",2022,7.1
20492,Life in a Metro,2007,6.3
38022,Amar Akbar Anthony,1977,6.8
44565,Khatta Meetha,2010,5.6
19670,Golmaal - Fun Unlimited,2006,6.6
12273,Singh Is Kinng,2008,5.6
14159,Aaja Nachle,2007,6.3
681235,Torbaaz,2020,8.4
39039,Awaara,1951,7.2
569584,Why Cheat India,2019,5.5
1205021,Rambo,2025,0
533991,Stree,2018,7
594669,Baaghi 3,2020,6.8
29538,Pyaar Impossible!,2010,4.7
16344,Luck by Chance,2009,6.6
39837,Yaadein,2001,5.5
97351,Phir Bhi Dil Hai Hindustani,2000,6.5
33202,Jo Jeeta Wohi Sikandar,1992,7.1
392572,Rustom,2016,6.9
118051,Cocktail,2012,6.2
454776,Fukrey Returns,2017,6.5
1160562,Friday Night Plan,2023,6
661043,Malang,2020,7.1
413547,Kahaani 2,2016,6.7
465642,Parmanu: The Story of Pokhran,2018,7
563987,Pihu,2018,7.6
26237,Anand,1971,7
439128,Newton,2017,7.1
472123,Golmaal Again,2017,5.4
273886,Holiday,2014,6.2
14214,Thoda Pyaar Thoda Magic,2008,5.4
413727,Hotel Salvation(Mukti Bhawan),2016,6.8
325892,Hunterrr,2015,6.3
577332,Panipat,2019,6.3
401285,Jagga Jasoos,2017,6.1
21614,Hera Pheri,2000,7
877655,Dangerous,2022,1
496339,Dabangg 3,2019,5.5
33457,Nayak: The Real Hero,2001,7.1
41903,Mr. India,1987,6.7
45129,Salaam Bombay!,1988,7.3
74458,Mere Brother Ki Dulhan,2011,6.1
393441,Dishoom,2016,5.4
460868,The Accidental Prime Minister,2019,5.2
168114,Murder 3,2013,3.6
228355,Boss,2013,5.5
913838,All That Breathes,2022,6.8
244237,Jai Ho,2014,4.9
191562,Go Goa Gone,2013,5.7
14705,Omkara,2006,6.8
185640,Commando - A One Man Army,2013,6.4
19025,Bhool Bhulaiyaa,2007,6.6
606535,Shubh Mangal Zyada Saavdhan,2020,6
20132,Kaal,2005,4.2
671909,Yeh Ballet,2020,7.5
107745,Saajan,1991,6.4
93519,Karan Arjun,1995,6.7
81273,The Dirty Picture,2011,6.2
287499,Margarita with a Straw,2015,6.9
21566,Raja Hindustani,1996,6.4
391779,Housefull 3,2016,5.2
77864,That Girl in Yellow Boots,2010,5.7
523277,Manmarziyaan,2018,7
402672,Mohenjo Daro,2016,6.2
744876,Kaali Khuhi,2020,4.5
336790,ABCD 2,2015,5.6
534075,Super 30,2019,7.4
591101,Mardaani 2,2019,7.1
30627,Kaala Patthar,1979,7.3
85052,Housefull 2,2012,5.4
37822,Badmaash Company,2010,5.8
25511,London Dreams,2009,5.1
24595,Blue,2009,4
396643,A Flying Jatt,2016,3.1
21297,Wake Up Sid,2009,7.1
20002,Chandni Chowk to China,2009,4.6
695962,Bhool Bhulaiyaa 2,2022,6.2
603673,Laxmii,2020,4.9
42966,Once Upon a Time in Mumbaai,2010,6.6
496527,October,2018,6.8
46418,Rehnaa Hai Terre Dil Mein,2001,6.3
5319,Hum Dil De Chuke Sanam,1999,6.3
20365,Hello,2008,5.7
46040,Tees Maar Khan,2010,3.8
471972,Chef,2017,5.3
80156,Gadar: Ek Prem Katha,2001,6.7
20656,Saathiya,2002,5.9
131940,Josh,2000,5.8
43410,Yuva,2004,6.6
441071,Naam Shabana,2017,5.8
275269,Wazir,2016,6.6
611594,Mission Mangal,2019,6.9
53299,Patiala House,2011,5.9
332835,Piku,2015,7
679844,Radhe,2021,4.5
518497,Sir,2018,7.2
35907,Kaante,2002,5.7
291154,Daawat-e-Ishq,2014,6.8
49679,Action Replayy,2010,5.2
915617,Hacker: Trust No One,2022,0
353898,Manjhi: The Mountain Man,2015,7.3
426558,Force 2,2016,6.6
611356,Gulabo Sitabo,2020,5.7
56338,7 Khoon Maaf,2011,6.2
986594,Mrs. Chatterjee Vs Norway,2023,5.3
82825,Kahaani,2012,7.1
15975,Oye Lucky! Lucky Oye!,2008,7
132744,One 2 Ka 4,2001,5.7
20027,Delhi-6,2009,5.8
601337,83,2021,7.1
556271,Kalank,2019,5.6
403867,Kaabil,2017,6.8
460713,102 Not Out,2018,7.5
569594,Bharat,2019,6.4
165402,Main Prem Ki Diwani Hoon,2003,5
766116,Runway 34,2022,6.4
398535,Udta Punjab,2016,7.2
401552,Sachin: A Billion Dreams,2017,7.4
584850,Tanhaji: The Unsung Warrior,2020,6.7
21665,Khakee,2004,6.3
35064,Dhadkan,2000,6.5
51725,Khuda Gawah,1992,5.9
614179,Coolie No. 1,2020,5.5
531597,Satyameva Jayate,2018,6.5
118628,English Vinglish,2012,7.2
479918,Qarib Qarib Singlle,2017,7
323517,Badlapur,2015,7
585062,Luka Chuppi,2019,6.1
44972,We Are Family,2010,5.9
726207,Phone Bhoot,2022,5.3
157129,Table No. 21,2013,6.3
679045,Shakuntala Devi,2020,6.7
45001,Deewana,1992,6.9
534081,Sandeep Aur Pinky Faraar,2021,6.5
496076,Zero,2018,5.2
61203,Shor in the City,2011,6.2
143889,Nagina,1986,7.1
455470,Meri Pyaari Bindu,2017,6.1
337876,Gabbar Is Back,2015,7
103640,Ishaqzaade,2012,6.3
41053,Pyaasa,1957,7.2
579230,Bala,2019,6.6
276935,Ek Villain,2014,6.5
27624,Maine Pyar Kiya,1989,6.1
54890,Dhobi Ghat,2010,6.5
137180,Aiyyaa,2012,4.5
38440,Gangster,2006,6.9
209410,Shuddh Desi Romance,2013,5.7
165904,Special 26,2013,7.3
20929,Taal,1999,6.4
33556,Ishqiya,2010,6.4
743382,Serious Men,2020,6.7
15412,Khosla Ka Ghosla!,2006,7.1
16987,Kaho Naa... Pyaar Hai,2000,6.8
205017,Lootera,2013,6.9
20968,Sarkar,2005,6.9
41968,The Deceivers,1988,5.7
392271,Rangoon,2017,6.1
39839,Baghban,2003,6.7
134446,Chachi 420,1997,7
471894,Poster Boys,2017,5.1
20651,Parineeta,2005,6.5
20742,Shootout at Lokhandwala,2007,6.4
606717,Angrezi Medium,2020,7.1
828871,Meenakshi Sundareshwar,2021,5.3
799177,Bhediya,2022,6.5
82698,Ladies vs Ricky Bahl,2011,6
159664,Mann,1999,6.5
702550,Durgamati: The Myth,2020,5.8
608746,Mumbai Saga,2021,5.6
407547,Beiimaan Love,2016,2.7
897525,A Thursday,2022,6.2
821119,Jaadugar,2022,6.6
399068,Phobia,2016,7
20413,Dhamaal,2007,6.7
20359,Phir Hera Pheri,2006,6.5
888268,Anek,2022,6.2
84533,Ek Main Aur Ekk Tu,2012,5.5
20145,36 China Town,2006,5.7
431892,Trapped,2017,6.9
763118,Ganapath,2023,2
357563,Welcome Back,2015,5.2
778625,Doctor G,2022,6.3
320295,Detective Byomkesh Bakshy!,2015,6.8
53569,No One Killed Jessica,2011,6.8
19636,Garam Masala,2005,5.8
159090,Duplicate,1998,6.1
41252,Raincoat,2004,7.2
957136,Operation Romeo,2022,6.2
507941,Section 375,2019,7.5
46404,Manorama Six Feet Under,2007,6.5
4252,Chalte Chalte,2003,6.2
19624,Fashion,2008,6.4
503928,Mahabharat,2013,6.7
886440,Dybbuk,2021,5.6
47655,Hisss,2010,3.6
83903,Vaah! Life Ho Toh Aisi!,2005,5.3
69346,Zeher,2005,5.3
1142127,Bawaal,2023,6
399624,Befikre,2016,5.2
478682,Gold,2018,7.1
957999,Thank You For Coming,2023,5.3
563150,The Journey of Karma,2018,2
54072,Andaaz,2003,5.3
46415,Neal 'n' Nikki,2005,4.1
764081,Ram Setu,2022,5
14785,Bandit Queen,1995,6.8
480810,Shaadi Mein Zaroor Aana,2017,7
729700,Raksha Bandhan,2022,6
370992,Shivaay,2016,5.8
772879,Unpaused,2020,6.3
90634,Hum Tumhare Hain Sanam,2002,5.6
569578,Ascharya Fuck It,2018,5.3
695951,Chehre,2021,6.6
124595,Khoon Bhari Maang,1988,7.6
33125,Border,1997,6.5
283827,Singh Is Bliing,2015,5.6
20390,No Entry,2005,5.9
587317,Bombay Rose,2019,6.7
35687,"LSD: Love, Sex aur Dhokha",2010,6.3
851783,Vikram Vedha,2022,6.9
533237,Karwaan,2018,7.2
547865,Jalebi,2018,6.5
882826,An Action Hero,2022,6.3
799155,Attack,2022,7.3
302431,Rang Rasiya,2014,6.2
237305,Gori Tere Pyaar Mein,2013,5.9
124093,Jism 2,2012,4.4
643534,Good Newwz,2019,6.8
270823,Talaash: The Hunt Begins,2003,5.5
37403,Agneepath,1990,6.4
264085,Bhoothnath Returns,2014,6.3
23848,Halla Bol,2008,5.1
199139,Fukrey,2013,6.6
27964,Qayamat Se Qayamat Tak,1988,6.8
308165,Action Jackson,2014,4.4
614256,Chhota Bheem Kung Fu Dhamaka,2019,8.3
679031,Aankh Micholi,2023,0
218779,Besharam,2013,4.6
1046688,Apurva,2023,5.5
161179,Shakti: The Power,2002,6.3
63006,Dum Maaro Dum,2011,5.8
470642,The Hungry,2017,5.7
594673,The Tashkent Files,2019,7.7
513540,Missing,2018,6
33104,Don,1978,6.4
627715,Marjaavaan,2019,7.4
41518,Guzaarish,2010,7.4
456562,Raabta,2017,6
284288,Mary Kom,2014,7
493620,Aiyaary,2018,5.7
85050,Agent Vinod,2012,5.5
34707,Darling,2007,3.9
965087,Phule,2023,0
899718,Yodha,2023,0
668435,Thappad,2020,7.1
496334,Batti Gul Meter Chalu,2018,5.8
531601,Arjun Patiala,2019,4.1
161834,Jhankaar Beats,2003,6.8
512098,Blackmail,2018,6.9
46375,Barsaat,1995,5.2
547654,Badhaai Ho,2018,7.3
394078,Santa Banta Pvt Ltd,2016,3.8
361131,Hate Story 3,2015,5
303904,Ungli,2014,5.6
974025,Gumraah,2023,6.1
46386,Honeymoon Travels Pvt. Ltd.,2007,5.2
69891,Chillar Party,2011,6.9
353879,Phantom,2015,5.5
754716,Badhaai Do,2022,6.8
21462,Masoom,1983,6.6
241882,Ankhon Dekhi,2014,6.9
20494,Malamaal Weekly,2006,6.1
639414,Dolly Kitty and Those Twinkling Stars,2019,5.5
323426,Shamitabh,2015,6.2
336735,Lakeer,2004,6.2
80556,The Chess Players,1977,7.2
84092,Ramayana: The Legend of Prince Rama,1992,8.4
456567,Bhoomi,2017,6
79982,Yes Boss,1997,6.1
667585,Chhalaang,2020,6.3
358996,Hero,2015,6.2
660042,The Big Bull,2021,5.3
296690,Kill Dil,2014,5.3
96398,Paan Singh Tomar,2012,7.3
49518,Aap Mujhe Achche Lagne Lage,2002,5.2
721048,Bell Bottom,2021,6.4
358893,Angry Indian Goddesses,2015,6.9
166259,Virasat,1997,7.2
732886,14 Phere,2021,6.7
20364,Hulchul,2004,6.6
830891,Sherni,2021,6.4
115124,"Wayward, Crazy, Insane",2002,5.5
91310,Ekk Deewana Tha,2012,5
20623,Page 3,2005,6.4
127763,Matrubhoomi: A Nation Without Women,2003,7.3
25510,Jannat,2008,6.1
15761,Company,2002,6.7
744991,Tribhanga,2021,7.1
1001241,Yaariyan 2,2023,5
504080,Dhadak,2018,7.3
19620,Bluffmaster!,2005,6
46407,Mixed Doubles,2006,7
329909,Mr. X,2015,5.2
884434,Shehzada,2023,5.4
75745,Force,2011,6.4
15419,Kabhi Haan Kabhi Naa,1994,6.4
706783,Choked: Paisa Bolta Hai,2020,6.4
25869,Salaam-e-Ishq,2007,4.9
22609,Dil Bole Hadippa!,2009,5.5
382717,Sanam Re,2016,6.3
262903,Main Tera Hero,2014,5.5
24603,All the Best: Fun Begins,2009,6.2
794008,Koi Jaane Na,2021,6.7
21265,Maqbool,2004,7.1
30321,Haseena Maan Jaayegi,1999,5.9
160255,English Babu Desi Mem,1996,5.3
103015,Shola Aur Shabnam,1992,7
1014390,Bloody Daddy,2023,6.7
157293,ABCD,2013,5.9
444000,Love Sonia,2018,7.5
252841,Highway,2014,7.3
649487,Pagalpanti,2019,5.1
125297,Kishen Kanhaiya,1990,6.4
737370,Tejas,2023,2.7
15980,Raaz: The Mystery Continues...,2009,5.6
1020376,Satyaprem Ki Katha,2023,7
678999,Jayeshbhai Jordaar,2022,6
460844,Tumhari Sulu,2017,6.5
618911,Atrangi Re,2021,6.9
240614,R... Rajkumar,2013,6.3
653457,Mimi,2021,6.8
601801,Chopsticks,2019,5.9
14467,Jaane Tu... Ya Jaane Na,2008,6.8
496327,Sui Dhaaga - Made in India,2018,7
25499,Jaane Bhi Do Yaaro,1983,6.9
19491,Kyun...! Ho Gaya Na,2004,4.6
282346,Hate Story 2,2014,4.6
206410,Sawaal,1982,0
